Here's a thinking thinking sequence

1.  **Deconstruct the user:**
    *   Topic: Geography of France.
    *   Format: Detailed, multi-section essay.
    *   Structure: Clear subsections with headings.
    *   Requirement: Develop each section at length.

2.  **Initial brainstorming and outlining:**
    *   *What are the key aspects of French geography?*
        *   Location, borders, shape ("L'Hexagone").
        *   Physical geography: Mountains, rivers, plains, coasts.
        *   Climate zones.
        *   Regions (Metropolitan vs. Overseas).
        *   Human geography/Economy (briefly, as it relates to geography, though the prompt asks for "geography," which usually implies physical, but a comprehensive essay often touches on the interaction). I'll focus primarily on physical and regional geography, with a nod to human impact where relevant.
        *   Overseas territories are crucial for a complete picture.

    *   *Drafting the Outline:*
        *   Introduction: Overview, "L'Hexagone," significance.
        *   Section 1: Location and Borders.
        *   Section 2: Topography and Landforms (Mountains, Plains, Basins).
        *   Section 3: Hydrography (Rivers, Lakes).
        *   Section 4: Climate and Vegetation.
        *   Section 5: Coastal Geography.
        *   Section 6: Overseas Territories (Outre-mer).
        *   Conclusion: Synthesis, diversity, importance.

3.  **Fleshing out each section (Mental content generation and expansion):**
    *   *Introduction:* Mention the nickname "L'Hexagone." Mention the variety. It's the largest country in Western Europe.
    *   *Location/Borders:* Metropolitan France. Borders with Belgium, Luxembourg, Germany, Switzerland, Italy, Monaco, Spain, Andorra. Maritime borders. The "Central Plateau" as a heart? No, the Paris Basin is the heart. Mention the strategic position.
    *   *Topography:*
        *   *Mountains:* Alps (Mont Blanc), Pyrenees, Jura, Vosges, Massif Central (volcanic), Ardennes. Elevations.
        *   *Plains/Basins:* Paris Basin (agric
